grp	sfm	name	value	order	note	was
TNND	b	nodecount		m		
TNND	b2	hascvref		m		
TNND	b2	nodecount		m		
TNND	b3	ancestor		m		
TNND	b3	curverse		m		
TNND	b3	curvr1		m		
TNND	b3	curvr2		m		
TNND	b3	hasvhyphen		m		
TNND	b3	posts5beforevhaslrb		m		
TNND	b3	posts5beforevhasvr2		m		
TNND	b3	posts5hasendashvr2		m		
TNND	b3	posts5hasleftround		m		
TNND	b3	posts5v		m		
TNND	b3	postsib		m		
TNND	b3	postsib2		m		following-sibling::*[1]/@style
TNND	b3	posttable		m		following-sibling::*[1][name() = 'table'] 
TNND	b3	posttable2		m		
TNND	b3	pres5hasendashvr2		m		
TNND	b3	pres5hasleftround		m		
TNND	b3	pres5v		m		
TNND	b3	presib		m		preceding-sibling::*[1]/@style
TNND	b3	presib2		m		preceding-sibling::*[2]/@style
TNND	b3	preverse		a		
TNND	b3	preverser1		m		
TNND	b3	preverser2		m		
TNND	b3	prevhyphen		m		
TNND	b3	values5beforev		a		
TNND	f	curpos		m		position()
TNND	f	dqstr1		a		
TNND	f	dqstr10		a		
TNND	f	dqstr2		a		
TNND	f	dqstr3		a		
TNND	f	dqstr4		a		
TNND	f	dqstr5		a		
TNND	f	dqstr6		a		
TNND	f	dqstr7		a		
TNND	f	dqstr8		a		
TNND	f	dqstr9		a		
TNND	f	graparent		m		parent::para[@style = 'gra']
TNND	f	indqstr1		m		
TNND	f	indqstr10		m		
TNND	f	indqstr2		m		
TNND	f	indqstr3		m		
TNND	f	indqstr4		m		
TNND	f	indqstr5		m		
TNND	f	indqstr6		m		
TNND	f	indqstr7		m		
TNND	f	indqstr8		m		
TNND	f	indqstr9		m		
TNND	f	ldqstr1		n		
TNND	f	ldqstr10		n		
TNND	f	ldqstr2		n		
TNND	f	ldqstr3		n		
TNND	f	ldqstr4		n		
TNND	f	ldqstr5		n		
TNND	f	ldqstr6		n		
TNND	f	ldqstr7		n		
TNND	f	ldqstr8		n		
